English Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Pali,Sanskrit,Synonyms
Greed,greed,66634eed9601e559555f45f7,653aca94fee370592ef53f08,66635922724afca0a36e0724,false,false,Fri Jun 07 2024 19:01:54 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:54 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Lobha,Lobha,
Happiness,happiness,66634eed9601e559555f45f7,653aca94fee370592ef53f08,6663591f87dde5d01decd7b0,false,false,Fri Jun 07 2024 19:01:51 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:51 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Sukha,Sukha,
Imagined Nature,imagined-nature,66634eed9601e559555f45f7,653aca94fee370592ef53f08,666359254a9e25f8d52700f9,false,false,Fri Jun 07 2024 19:01:57 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:57 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Parikalpita-Sabhāva,Parikalpita-Svabhāva,
Impermanence,impermanence,66634eed9601e559555f45f7,653aca94fee370592ef53f08,6663592a5c82492024e3b686,false,false,Fri Jun 07 2024 19:02:02 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:02 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Anicca,Anitya,
"Independent, Without Clinging",independent-without-clinging,66634eed9601e559555f45f7,653aca94fee370592ef53f08,6663592896f80f697ddbc82f,false,false,Fri Jun 07 2024 19:02:00 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:00 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),"Anissito Ca Viharati, Na Ca Kiñci Loke Upādiyati","Anāśritya Ca Viharati, Na Ca Kiñcid Loke Upādīyate",
Initial Thought,initial-thought,66634eed9601e559555f45f7,653aca94fee370592ef53f08,6663592503c6ef3de28dfc4b,false,false,Fri Jun 07 2024 19:01:57 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:57 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Vitakka,Vitarka,
Internal / External,internal-external,66634eed9601e559555f45f7,653aca94fee370592ef53f08,66635928cb242dfbc8144955,false,false,Fri Jun 07 2024 19:02:00 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:00 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Ajjhatta / Bahiddhā,Adhyātma / Bāhya,
Investigation,investigation,66634eed9601e559555f45f7,653aca94fee370592ef53f08,6663591f1838cf5eb483680e,false,false,Fri Jun 07 2024 19:01:51 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:51 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Vicaya,Vicaya,
Joy,joy,66634eed9601e559555f45f7,653aca94fee370592ef53f08,6663591fec50b3586e565b64,false,false,Fri Jun 07 2024 19:01:51 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:51 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Pīti,Prīti,
Karma,karma,66634eed9601e559555f45f7,653aca94fee370592ef53f08,6663592ae7f72f585a4acda4,false,false,Fri Jun 07 2024 19:02:02 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:02 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Kamma,Karma,
Letting Go / Renunciation,letting-go-renunciation,66634eed9601e559555f45f7,653aca94fee370592ef53f08,6663591f1de0aeba878cf2ce,false,false,Fri Jun 07 2024 19:01:51 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:51 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Nekkhamma,Naiṣkramya,
Liberation,liberation,66634eed9601e559555f45f7,653aca94fee370592ef53f08,6663591bec50b3586e565994,false,false,Fri Jun 07 2024 19:01:47 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:47 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Nibbāna,Nirvāṇa,
Life faculty of mind,life-faculty-of-mind,66634eed9601e559555f45f7,653aca94fee370592ef53f08,666359251e3bbb4ff00d7ba2,false,false,Fri Jun 07 2024 19:01:57 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:57 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Jīvitindriya,Jīvitendriya,
